stock_id,universe,sub,first_close_date,listed_date
6669,ai_chain,AI主鏈,2021-01-04,2019-03-27
6679,semiconductor,IC設計,2021-01-04,2019-05-09
6683,semiconductor,設備,2021-01-04,2019-04-23
6684,semiconductor,IC設計,2021-01-04,2021-08-11
6693,semiconductor,IC設計,2021-01-04,2022-03-01
6708,semiconductor,IC設計,2021-01-04,2022-12-29
6716,semiconductor,IC設計,2021-01-04,2020-03-27
6719,semiconductor,IC設計,2021-03-12,2022-01-13
6720,semiconductor,IC設計,2021-01-04,2024-12-04
6732,semiconductor,IC設計,2021-01-04,2020-06-08
6756,semiconductor,IC設計,2021-01-04,2020-12-24
6770,semiconductor,記憶體,2021-01-04,2021-12-06
6788,semiconductor,設備,2021-01-04,2021-09-29
6789,semiconductor,設備,2021-04-06,2022-06-30
6799,semiconductor,IC設計,2021-01-04,2022-05-12
6823,semiconductor,設備,2021-06-10,2022-06-30
6829,semiconductor,設備,2021-09-29,2022-03-11
6854,ai_chain;semiconductor,氮化鎵/化合物半導體,2022-08-18,2022-08-18
6895,semiconductor,設備,2022-09-15,2023-08-22
6907,semiconductor,IC設計,2026-01-29,2026-01-29
6909,semiconductor,設備,2023-03-30,2025-05-21
6921,semiconductor,其他,2025-12-23,2025-12-23
6937,semiconductor,設備,2023-03-29,2023-12-12
6953,semiconductor,設備,2023-06-26,2024-05-13
6962,semiconductor,其他,2024-11-26,2024-11-26
6996,semiconductor,IC設計,2023-12-20,2024-12-10
7556,semiconductor,設備,2021-01-04,2020-10-30
7704,semiconductor,設備,2023-12-01,2024-12-16
7712,semiconductor,IC設計,2024-01-02,2024-12-26
7730,semiconductor,設備,2024-03-18,2025-11-04
7734,semiconductor,設備,2024-03-14,2025-02-26
7749,semiconductor,其他,2025-06-13,2025-06-13
7751,semiconductor,封測,2024-06-13,2025-08-26
7768,semiconductor,設備,2025-03-31,2026-05-07
7769,semiconductor,設備,2024-11-01,2025-11-27
7770,semiconductor,IC設計,2024-09-12,2025-12-10
7772,semiconductor,設備,2025-06-26,2026-05-08
7810,semiconductor,封測,2025-01-03,2025-12-23
7822,semiconductor,設備,2025-03-27,2026-03-30
7828,semiconductor,設備,2025-05-08,2026-04-22
8016,semiconductor,IC設計,2021-01-04,2003-12-25
8024,semiconductor,IC設計,2021-01-04,2006-09-25
8028,semiconductor,晶圓代工,2021-01-04,2018-07-10
8040,semiconductor,IC設計,2021-01-04,2007-04-30
8081,ai_chain;semiconductor,IC設計,2021-01-04,2008-12-30
8086,ai_chain;semiconductor,晶圓代工,2021-01-04,2009-06-01
8088,semiconductor,其他,2021-01-04,2004-02-27
8091,semiconductor,設備,2021-01-04,2004-06-24
8102,semiconductor,IC設計,2023-10-27,2025-12-22
8110,semiconductor,封測,2021-01-04,2007-10-31
8111,ai_chain,光通訊,2021-01-04,2004-02-09
8131,semiconductor,封測,2021-01-04,2007-11-29
8150,semiconductor,封測,2021-01-04,2014-04-11
8162,semiconductor,封測,2022-09-26,2024-03-07
8227,semiconductor,矽智財與ASIC,2021-07-21,2022-12-20
8255,ai_chain,功率元件,2021-01-04,2006-04-25
8261,ai_chain;semiconductor,IC設計,2021-01-04,2009-12-11
8271,semiconductor,其他,2021-01-04,2010-12-29
8299,ai_chain;semiconductor,其他,2021-01-04,2004-12-06
8383,semiconductor,設備,2021-01-04,2004-09-10
8996,ai_chain,AI主鏈,2021-01-04,2014-02-14
